"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"P.K..SUBBAN","2007-2017","MTL/NSH","D",499,1867.38,37,101,138,80,4.43,2.57,123.02,3.95,3114,437,2677,87.69,2.2,213,25,188,89.5,1.58,210.61,28.87,181.74,87.94,2.11,30,12,-18,1003,32.23,32.32,1.04,7.99,104.47,95.39,67.08,46.52,83.84,38.2,11.99
"RADEK.BONK","2007-2017","NSH","C",144,374.82,11,9,20,17,3.2,2.72,17.98,2.88,515,70,445,88.03,1.04,37,5,32,88.1,6.43,31.63,3.76,27.87,89.38,1.45,5,5,0,68,10.89,8.78,1.41,21.57,102.13,90.17,38.36,48.06,85.3,36.22,13.15
"RADEK.DVORAK","2007-2017","FLA/ATL/DAL/ANA/CAR","R",431,148.89,1,4,5,2,2.01,0.81,4.18,1.68,197,49,148,80.08,-7.57,9,2,7,81.82,-7.94,11.9,3.01,8.89,79.81,-8.9,2,1,-1,31,12.49,2.31,0.93,6.67,101.44,89.39,6.07,35.97,86.26,33.4,13.37
"RADEK.MARTINEK","2007-2017","NYI/CBJ","D",228,103.33,2,0,2,2,1.16,1.16,2.83,1.64,129,24,105,84.31,-2.73,5,0,5,100,13.67,7.94,0.83,7.11,90.54,2.73,0,0,0,25,14.52,1.29,0.75,13.33,107.46,75.9,7.36,35.48,84.27,34.03,13.36
"RADIM.VRBATA","2007-2017","ARI/T.B/VAN","R",668,1946.5,60,75,135,101,4.16,3.11,127.59,3.93,3118,382,2736,89.09,3.33,215,26,189,89.21,1.12,206.67,25.3,181.37,89.09,2.5,10,7,-3,809,24.94,52.51,1.62,12.66,102.84,95.34,52.52,51.33,85.12,38.39,11.58
"RADKO.GUDAS","2007-2017","T.B/PHI","D",269,78.23,1,4,5,2,3.83,1.53,3.77,2.89,111,23,88,82.84,-5.96,7,2,5,77.78,-10.27,7.06,1.44,5.62,83.06,-4.91,3,1,-2,29,22.24,0.81,0.62,8.33,98.14,85.9,5.33,36.97,85.5,34.84,12.18
"RAFFI.TORRES","2007-2017","EDM/CBJ/BUF/VAN/ARI/S.J","L",359,481.64,15,5,20,18,2.49,2.24,18.94,2.36,642,120,522,84.25,-4.81,36,5,31,87.8,-5.01,36.38,7.03,29.35,83.81,-5.55,8,6,-2,96,11.96,10.11,1.26,23.44,104.34,89.8,23.94,40.28,84.83,35.35,12.5
"RANDY.JONES","2007-2017","PHI/L.A/T.B/WPG","D",265,332.51,2,16,18,8,3.25,1.44,13.88,2.5,502,94,408,84.23,-3.31,38,3,35,92.68,3.38,32.51,6.39,26.12,83.57,-5.42,0,1,1,91,16.42,2.61,0.47,6.45,110.38,90.2,20.72,40.53,86.38,34.82,13.05
"RANDY.ROBITAILLE","2007-2017","OTT","C",62,100.7,0,3,3,2,1.79,1.19,3.33,1.98,169,22,147,88.48,4.6,9,1,8,90,-1.67,9.1,1.19,7.91,88.44,2.8,0,0,0,30,17.87,2.32,1.38,0,104.86,90.16,26.57,40.61,84.2,35.36,13.62
"RAPHAEL.DIAZ","2007-2017","MTL/VAN/NYR/CGY","D",201,324.95,1,17,18,10,3.32,1.85,15.22,2.81,483,67,416,87.82,0.43,25,5,20,83.33,-9.52,29.39,3.75,25.64,88.68,-0.39,2,0,-2,116,21.42,3.7,0.68,2,97.67,91.63,27.89,40.57,85.46,36.19,12.66
