"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"BRETT.CLARK","2007-2017","COL/T.B/MIN","D",369,865.87,9,26,35,22,2.43,1.52,31.87,2.21,1267,217,1050,85.38,0.66,73,13,60,84.88,-1.75,85.07,9.87,75.2,89.6,2.69,10,0,-10,258,17.88,12.04,0.83,7.26,99.52,92.97,38.53,47.11,83.94,36.84,12.98
"BRETT.CONNOLLY","2007-2017","T.B/BOS/WSH","R",276,296.77,7,6,13,10,2.63,2.02,11.15,2.25,384,64,320,85.71,-1.86,32,5,27,86.49,-4.29,25.87,3.92,21.95,86.84,-0.28,8,1,-7,69,13.95,6.64,1.34,17.07,103.85,90,21.89,39.24,83.47,35.9,12.36
"BRETT.LEBDA","2007-2017","DET/TOR/CBJ","D",275,226.96,0,5,5,3,1.32,0.79,5.25,1.39,343,46,297,88.17,-2.68,10,2,8,83.33,-10.81,17.52,2.63,14.89,86.95,-5.72,0,0,0,59,15.6,1.76,0.47,0,98.44,89.44,12.32,38.71,87.94,35.14,13.12
"BRETT.MCLEAN","2007-2017","FLA","C/C/R",146,186.84,3,10,13,9,4.17,2.89,11.18,3.59,306,38,268,88.95,-0.74,21,1,20,95.45,4.1,18.64,2.08,16.56,89.96,-1.58,0,1,1,42,13.49,4.35,1.4,10.34,108.81,93.06,20.74,47.48,88.44,35.42,13.15
"BRETT.PESCE","2007-2017","CAR","D",151,113.55,1,6,7,3,3.7,1.59,6.05,3.2,192,18,174,91.43,0.17,15,1,14,93.75,6.61,14.41,1.22,13.19,92.19,2.42,0,0,0,49,25.89,2.15,1.14,4.55,105.79,97.96,16.48,36.85,90.85,35.59,11.7
"BRETT.RITCHIE","2007-2017","DAL","R",117,202.61,2,2,4,3,1.18,0.89,4.5,1.33,343,47,296,87.95,0.64,14,5,9,73.68,-13.2,22.9,3.55,19.35,86.58,-0.75,4,0,-4,56,16.58,4.79,1.42,6.45,90.38,91.46,32.35,39.98,83.67,35.72,11.81
"BRETT.STERLING","2007-2017","ATL/PIT/STL","L",30,64.47,1,2,3,1,2.79,0.93,2.18,2.03,99,14,85,87.61,0.77,6,1,5,85.71,-1.79,5.48,0.79,4.69,87.4,-1.21,2,1,-1,12,11.17,0.71,0.66,16.67,102,90.74,31.11,46.46,86.4,37.43,13.1
"BRIAN.BOYLE","2007-2017","L.A/NYR/T.B/TOR","C",623,338.63,10,7,17,16,3.01,2.83,16.79,2.97,487,66,421,88.07,0.24,37,3,34,92.5,2.09,34.48,4.04,30.44,89.51,0.34,7,3,-4,90,15.95,12.43,2.2,14.93,106.41,91.77,9.62,41.66,86.7,36.96,12.71
"BRIAN.CAMPBELL","2007-2017","BUF/S.J/CHI/FLA","D",749,2430.15,25,127,152,89,3.75,2.2,121.99,3.01,3746,473,3273,88.79,0.74,263,19,244,93.26,4.48,241.14,30.11,211.03,88.9,-0.13,4,6,2,638,15.75,23.75,0.59,8.39,106.69,94.23,57.47,42.9,85.86,37.48,12.13
"BRIAN.DUMOULIN","2007-2017","PIT","D",163,89.45,0,4,4,2,2.68,1.34,3.07,2.06,117,20,97,85.4,-1.91,7,0,7,100,8.57,7.33,0.73,6.6,90.94,5.21,0,0,0,20,13.42,0.5,0.34,0,111.86,87.32,10.52,38.33,85.44,35.44,11.98
"BRIAN.FLYNN","2007-2017","BUF/MTL","C",274,79.19,0,1,1,1,0.76,0.76,1.5,1.14,84,33,51,71.79,-14.75,4,4,0,50,-34.25,7.35,2.73,4.62,72.92,-14.48,0,0,0,16,12.12,1.93,1.46,0,88.89,80.26,5.72,34.69,83.21,35.85,12.84
"BRIAN.GIONTA","2007-2017","N.J/MTL/BUF","R",693,1627.73,45,53,98,72,3.61,2.65,88.31,3.26,2639,361,2278,87.97,-0.01,170,24,146,87.63,-2.69,186.88,20.95,165.93,89.92,0.97,13,8,-5,472,17.4,54.55,2.01,15.41,101.26,94.07,42.04,43.39,84.25,36.63,12.37
"BRIAN.LEE","2007-2017","OTT/T.B","D",206,97.57,1,2,3,2,1.84,1.23,2.8,1.72,127,23,104,84.67,-1.92,9,1,8,90,-0.41,7.67,1.16,6.51,86.86,-0.62,0,0,0,22,13.53,0.74,0.46,10,106.99,88.16,8.07,36.4,85.47,33.7,12.98
"BRIAN.POTHIER","2007-2017","WSH/CAR","D",107,163.09,2,7,9,7,3.31,2.58,7.84,2.88,204,35,169,85.36,-4.18,18,2,16,90,0.53,12.72,2.4,10.32,84.13,-4.99,1,0,-1,44,16.19,1.28,0.47,8.7,107.58,91.96,23.62,45.1,87.12,35.19,13.22
"BRIAN.RAFALSKI","2007-2017","DET","D",290,1109.87,19,72,91,44,4.92,2.38,72.08,3.9,2217,200,2017,91.73,1.32,174,8,166,95.6,5.39,157.56,10.3,147.26,93.86,2.91,6,3,-3,448,24.22,16.12,0.87,10.05,108.82,96.88,59.92,51.29,88.5,38.72,11.95
"BRIAN.ROLSTON","2007-2017","MIN/N.J/NYI/BOS","R",358,951.92,33,34,67,52,4.22,3.28,65.14,4.11,1545,181,1364,89.51,0.8,101,15,86,87.07,-3.41,107.7,10.33,97.37,91.25,3.04,16,5,-11,526,33.15,25.6,1.61,12.27,98.66,95.94,49.1,46.24,87.67,37.07,12.4
"BROCK.NELSON","2007-2017","NYI","C",316,634.36,15,16,31,26,2.93,2.46,30.36,2.87,992,103,889,90.59,1.35,59,9,50,86.76,-3.67,74.16,7.94,66.22,90.33,1.64,9,6,-3,196,18.54,22.18,2.1,12.4,97.35,94.7,40.53,44.86,87.63,37.24,11.71
"BROOKS.LAICH","2007-2017","WSH/TOR","C/C/L/L/L/C",611,1079.54,38,43,81,62,4.5,3.45,72.49,4.03,1974,224,1750,89.81,1.78,144,21,123,87.27,-3.24,143.88,16.6,127.28,89.66,1.59,12,13,1,320,17.79,41.88,2.33,17.27,99.69,94.69,32.11,57.19,87.11,37.29,12.28
"BROOKS.ORPIK","2007-2017","PIT/WSH","D",679,120.37,1,1,2,1,1,0.5,1.89,0.94,134,30,104,81.71,-6.43,8,1,7,88.89,-1.07,8.41,1.4,7.01,85.73,-3.76,1,1,0,17,8.47,0.41,0.2,14.29,107.18,76.56,3.06,34.63,84.37,33.26,13.92
"BRUNO.GERVAIS","2007-2017","NYI/T.B/PHI","D",335,329.53,2,9,11,9,2,1.64,10.58,1.93,411,69,342,85.62,-1.67,24,2,22,92.31,7.73,27.18,4.06,23.12,87,-1.57,1,1,0,96,17.48,3.44,0.63,5.41,106.76,85.15,16.36,40.9,85.62,33.69,13.6
"BRYAN.ALLEN","2007-2017","FLA/CAR/ANA/MTL","D",421,67.76,0,2,2,1,1.77,0.89,1.83,1.62,101,24,77,80.8,-6.14,6,1,5,85.71,-3.22,7.04,1.04,6,87.13,-1.4,0,1,1,12,10.63,0.37,0.33,0,99.06,83.33,2.82,38.98,85.53,33.95,15.25
"BRYAN.BERARD","2007-2017","NYI","D",51,201.98,4,11,15,6,4.46,1.78,11.48,3.41,285,65,220,81.43,-6.19,18,9,9,66.67,-13.33,18.02,5.08,12.94,78.01,-8.67,3,0,-3,88,26.14,2.76,0.82,12.12,95.46,91.84,59.61,44.95,86.11,37.58,12.93
"BRYAN.BICKELL","2007-2017","CHI/CAR","L",392,225.36,4,4,8,5,2.13,1.33,7.19,1.91,347,57,290,85.89,-3.54,21,5,16,80.77,-9.71,18.45,3.95,14.5,82.37,-7.13,1,2,1,42,11.18,3.59,0.96,18.18,98.22,93.24,10.76,42.37,88.69,34.75,12.54
"BRYAN.LITTLE","2007-2017","ATL/WPG","C/C/R/R/R/C",671,1923.07,51,61,112,87,3.49,2.71,99.22,3.1,3128,416,2712,88.26,1.3,204,26,178,88.7,2.22,216.87,29.13,187.74,88.16,0.17,6,13,7,451,14.07,47.79,1.49,19.39,103.63,94.8,50.05,54.49,85.08,37.96,11.94
"BRYAN.MCCABE","2007-2017","TOR/FLA/NYR","D",268,1112.1,17,42,59,35,3.18,1.89,54.04,2.92,1760,262,1498,87.04,2.94,104,15,89,87.39,-2.26,116.3,15.95,100.35,87.94,0.49,12,5,-7,424,22.88,14.5,0.78,8.21,102.12,95.73,66.73,48.54,86.08,37.73,12.65
"BRYAN.RODNEY","2007-2017","CAR/EDM","D",34,77.33,0,7,7,2,5.43,1.55,4.95,3.84,118,20,98,85.51,-3.2,12,4,8,75,-6.82,9.31,1.05,8.26,89.86,1.63,0,0,0,17,13.19,0.82,0.64,0,84.31,93.33,38.28,42.16,85.88,35.39,12.38
"BYRON.RITCHIE","2007-2017","VAN","C",71,62.08,0,3,3,2,2.9,1.93,2.89,2.79,93,13,80,87.74,1.22,3,0,3,100,7.27,6.73,0.63,6.1,91.44,1.14,0,0,0,16,15.46,1.08,1.04,0,105.26,82,12.64,38.3,83.57,34.53,13.27
"CAL.CLUTTERBUCK","2007-2017","MIN/NYI","R",638,522.34,9,6,15,12,1.72,1.38,16.95,1.95,737,102,635,87.84,-1.27,37,9,28,80.43,-9.37,44.75,7.93,36.82,84.95,-4.73,10,7,-3,167,19.18,13.52,1.55,9.78,96.65,88.77,15.32,39.11,85.94,35.62,11.94
"CALLE.JARNKROK","2007-2017","NSH","C",248,151.49,5,4,9,5,3.56,1.98,7.49,2.97,241,20,221,92.34,3.32,23,0,23,100,8.87,16.24,1.1,15.14,93.66,3.57,1,0,-1,29,11.49,3.43,1.36,23.81,117.83,94.81,11.94,43.06,87.92,36.32,11.67
"CAL.O'REILLY","2007-2017","NSH/ARI/PIT/BUF","C",144,260.43,4,7,11,7,2.53,1.61,9.12,2.1,367,51,316,87.8,-2.03,18,5,13,78.26,-14.7,23.78,3.71,20.07,86.5,-3.23,0,0,0,34,7.83,3.51,0.81,16,94.67,94.87,32.59,44.21,89.25,37.74,11.96
"CALVIN.DE HAAN","2007-2017","NYI","D",271,140.37,2,4,6,3,2.56,1.28,5.73,2.45,207,23,184,90,0.73,10,3,7,76.92,-11.02,11.3,2.26,9.04,83.33,-5.77,1,0,-1,48,20.52,1.87,0.8,7.41,92.34,90.57,10.44,33.7,87.62,34.49,12.33
"CAM.ATKINSON","2007-2017","CBJ","R",382,853.25,27,25,52,45,3.66,3.16,49.23,3.46,1387,150,1237,90.24,2.43,99,7,92,93.4,5.02,109.79,10.31,99.48,91.42,3.75,4,3,-1,275,19.34,30.92,2.17,16.07,105.7,95.3,44.23,47.81,85.59,38.73,11.61
"CAM.BARKER","2007-2017","CHI/MIN/EDM/VAN","D",274,626.69,11,32,43,23,4.12,2.2,37.89,3.63,903,134,769,87.08,-1.42,73,10,63,87.95,-4.59,52.35,8.02,44.33,86.72,-2.77,0,3,3,269,25.75,8.6,0.82,8.87,103.47,92.75,37.99,44.4,86.74,37.14,12.2
"CAM.FOWLER","2007-2017","ANA","D",494,1533.84,22,71,93,50,3.64,1.96,82.08,3.21,2742,326,2416,89.37,0.14,187,16,171,92.12,6.65,200.12,20.5,179.62,90.71,0.58,5,3,-2,599,23.43,21.14,0.83,7.8,104.14,95.25,60.78,51.98,88.15,37.9,11.43
"CARL.GUNNARSSON","2007-2017","TOR/STL","D",492,331.28,2,11,13,3,2.35,0.54,11.74,2.13,470,76,394,86.08,-1.2,27,5,22,84.38,-3.17,29.99,4.66,25.33,86.55,-1.27,1,1,0,88,15.94,3.63,0.66,3.77,100.22,85.66,12.57,41.85,85.52,34.55,13.25
"CARL.HAGELIN","2007-2017","NYR/ANA/PIT","L",407,115.04,2,0,2,2,1.04,1.04,2.15,1.12,145,27,118,84.3,-3.47,4,1,3,80,-9.52,8.77,1.23,7.54,87.7,0.05,0,1,1,18,9.39,1.64,0.86,33.33,99.13,82.02,5.58,40.85,85.78,34.67,13.57
"CARLO.COLAIACOVO","2007-2017","TOR/STL/DET/PHI/BUF","D",395,836.54,5,43,48,23,3.44,1.65,36.1,2.59,1320,155,1165,89.49,-0.51,88,9,79,90.72,-2.4,84.1,7.85,76.25,91.46,0.31,5,0,-5,193,13.84,7.95,0.57,6.25,103.21,95.66,37.12,44.99,89.24,37.1,11.96
"CARL.SODERBERG","2007-2017","BOS/COL","C",322,571.89,14,26,40,34,4.2,3.57,34.84,3.66,918,112,806,89.13,-0.21,63,9,54,87.5,-6.62,59.84,7.84,52,88.42,0.22,9,1,-8,158,16.58,17.94,1.88,13.08,102.36,93.04,37.82,42.99,88.11,36.97,11.68
"CHAD.LAROSE","2007-2017","CAR","C/C/R/R",375,279.33,5,7,12,10,2.58,2.15,10.46,2.25,404,90,314,81.78,-5.26,25,6,19,80.65,-9.81,26.51,6.07,20.44,81.37,-7.09,4,1,-3,63,13.53,7.79,1.67,14.71,104,88.21,10.97,39.65,85.77,35.48,13.22
"CHAD.RUHWEDEL","2007-2017","BUF/PIT","D",67,51.63,0,4,4,3,4.65,3.49,3.4,3.95,79,9,70,89.77,4.52,8,0,8,100,12.5,4.18,0.58,3.6,87.82,4.03,0,0,0,19,22.08,0.52,0.6,0,118.6,83.33,16.4,33.33,84.37,36.41,12.43
"CHARLIE.COYLE","2007-2017","MIN","C",352,609.5,11,12,23,16,2.26,1.58,19.05,1.88,939,122,817,88.5,-1.79,58,9,49,86.57,-6.91,64.96,6.93,58.03,90.36,-1.47,6,1,-5,107,10.53,11.48,1.13,18.33,99.8,94.27,34.48,48.73,89.39,37.18,11.81
"CHRIS.BOURQUE","2007-2017","WSH/PIT/BOS","L",50,71.33,0,5,5,3,4.21,2.52,3.88,3.26,109,16,93,87.2,0.61,6,0,6,100,13.64,6.87,1.21,5.66,85.02,-2.09,3,0,-3,24,20.19,1.68,1.41,0,109.09,88,24.27,38.66,87.27,36.76,13.61
"CHRIS.BUTLER","2007-2017","BUF/CGY/STL","D",387,330.15,0,16,16,7,2.91,1.27,12.65,2.3,496,88,408,84.93,-2.74,40,5,35,88.89,-1.86,32.75,5.85,26.9,84.84,-5.07,2,0,-2,99,17.99,2.55,0.46,0,106.4,90.75,15.73,43.16,84.68,35.23,12.72
"CHRIS.CAMPOLI","2007-2017","NYI/OTT/CHI/MTL","D",306,662.34,6,22,28,14,2.54,1.27,26.1,2.36,888,150,738,85.55,-1.74,55,10,45,84.62,-6.54,57.42,8.6,48.82,86.97,-1.29,3,4,1,192,17.39,8.47,0.77,5.83,101.28,90.2,36.89,43.58,85.61,35.46,13.08
"CHRIS.CLARK","2007-2017","WSH/CBJ","R",176,175,3,6,9,8,3.09,2.74,7.28,2.5,251,39,212,86.55,-3.19,17,3,14,85,-0.22,17.04,2.64,14.4,86.59,-3.21,5,1,-4,40,13.71,4.05,1.39,14.29,101.87,90.08,15.97,49.31,88.91,36.35,12.33
"CHRIS.CONNER","2007-2017","DAL/PIT/DET/ARI/WSH","R",169,72.67,0,1,1,1,0.83,0.83,1.04,0.86,77,10,67,88.51,-0.04,3,1,2,75,-20.05,4.55,0.2,4.35,95.79,6.26,0,0,0,9,7.43,0.56,0.46,0,91.9,85.71,7.45,39.37,87.44,35.11,13.81
"CHRIS.DRURY","2007-2017","NYR","C",262,751.76,20,33,53,36,4.23,2.87,48.11,3.84,1261,177,1084,87.69,-0.03,78,12,66,86.67,-1.87,96.73,12.69,84.04,88.4,-1.67,4,6,2,265,21.15,23.58,1.88,13.25,100.95,93.89,45.05,45.61,86.8,37.45,12.3
"CHRIS.GRATTON","2007-2017","T.B/CBJ","C",82,104.05,2,3,5,3,2.88,1.73,4.61,2.66,153,19,134,88.95,3.47,12,0,12,100,9.8,8.64,0.95,7.69,90.09,2.46,1,0,-1,20,11.53,2.28,1.31,12.5,114.81,88.51,21.46,55.53,84.46,36.14,14.25
"CHRIS.HIGGINS","2007-2017","MTL/NYR/CGY/FLA/VAN","C/L/L",562,985.38,20,26,46,38,2.8,2.31,43.64,2.66,1455,265,1190,84.59,-5.67,77,9,68,89.53,-2.53,90.39,14.93,75.46,85.82,-5.3,7,2,-5,261,15.89,28.25,1.72,12.27,104.47,89.74,30.41,40.13,86.58,36.04,12.46
"CHRIS.KELLY","2007-2017","OTT/BOS","C",659,95.02,2,1,3,3,1.89,1.89,3.15,1.99,104,31,73,77.04,-11.36,7,0,7,100,6.3,6.12,1.59,4.53,79.38,-9.61,0,1,1,14,8.84,1.41,0.89,25,113.46,82.08,2.73,32.41,85.2,33.9,13.48
"CHRIS.KREIDER","2007-2017","NYR","C/C/L",323,688.56,22,17,39,33,3.4,2.88,35.34,3.08,1204,147,1057,89.12,2.3,72,10,62,87.8,-1.3,81.33,12.9,68.43,86.31,-2.13,9,7,-2,173,15.07,25.15,2.19,20.37,100.65,90.63,44.21,47.74,87.61,38.55,11.59
"CHRIS.KUNITZ","2007-2017","ANA/PIT","L",711,2067.5,59,65,124,93,3.6,2.7,108.19,3.14,3741,439,3302,89.5,1.1,270,33,237,89.11,-2.62,273.14,32.5,240.64,89.37,-0.99,33,16,-17,508,14.74,68.27,1.98,17.35,101.73,94.85,50.77,59.9,86.71,38.45,12.17
"CHRIS.NEIL","2007-2017","OTT","R",636,471.42,4,8,12,7,1.53,0.89,10.82,1.38,702,114,588,86.03,-1.67,43,8,35,84.31,-8.08,42.96,6.83,36.13,86.28,-1.23,10,6,-4,83,10.56,10.5,1.34,8.33,101.72,91.98,13.62,41.58,85.64,36.03,13.02
"CHRIS.PHILLIPS","2007-2017","OTT","D",554,356.17,8,15,23,14,3.87,2.36,18.23,3.07,527,81,446,86.68,-0.44,39,3,36,92.86,1.04,32.5,4.8,27.7,87.13,-0.07,2,0,-2,89,14.99,2.75,0.46,19.05,108.37,87.54,11.27,39.07,85.1,35.15,12.61
"CHRIS.PRONGER","2007-2017","ANA/PHI","D",298,1228.08,21,84,105,58,5.13,2.83,86.09,4.21,2094,218,1876,90.57,1.08,173,10,163,94.54,13.45,155.86,10.57,145.29,93.65,2.65,9,0,-9,513,25.06,18.56,0.91,8.43,107.09,96.8,64.93,50.14,87.56,38.03,12.25
"CHRIS.STEWART","2007-2017","COL/STL/BUF/MIN/ANA","R",597,1004.46,32,37,69,59,4.12,3.52,60.92,3.64,1596,234,1362,87.21,-1.58,109,16,93,87.2,-3.18,112.4,13.96,98.44,88.95,-1.68,14,9,-5,303,18.1,31.86,1.9,17.88,101.67,93.6,32.28,44.62,87.69,37.18,11.85
"CHRIS.TANEV","2007-2017","VAN","D",348,172.54,2,5,7,4,2.43,1.39,5.66,1.97,197,39,158,83.47,-6.76,18,2,16,90,-1.53,12.43,2.39,10.04,83.87,-5.71,0,0,0,26,9.04,1.2,0.42,16.67,108.22,84.83,9.58,37.13,84.94,34.78,11.5
"CHRIS.TERRY","2007-2017","CAR/MTL","L",152,125.93,3,3,6,4,2.86,1.91,5.03,2.4,183,21,162,89.71,-0.55,8,0,8,100,14.29,11.86,1.14,10.72,91.23,1.04,0,0,0,33,15.72,2.32,1.11,23.08,109.41,94.59,16.84,40.15,89.5,37.01,11.65
"CHRIS.THORBURN","2007-2017","ATL/WPG","R/C/R",701,79,2,1,3,3,2.28,2.28,2.79,2.12,108,23,85,82.44,-4.76,7,0,7,100,11.56,6.75,0.95,5.8,87.66,-0.18,2,1,-1,15,11.39,1.66,1.26,22.22,110.77,82.47,2.01,35.65,83.39,32.48,12.9
"CHRISTIAN.BACKMAN","2007-2017","STL/NYR/CBJ","D",118,280.75,2,5,7,4,1.5,0.85,5.81,1.24,389,66,323,85.49,-1.38,20,1,19,95.24,11.9,25.4,3.7,21.7,87.29,-0.3,5,0,-5,65,13.89,2.28,0.49,9.09,107.42,92.45,36.38,44.46,85.6,37.07,13.04
"CHRISTIAN.DVORAK","2007-2017","ARI","L/C/L",78,110.66,2,3,5,4,2.71,2.17,4.32,2.34,144,22,122,86.75,0.17,6,2,4,75,-15.32,7.72,1.25,6.47,86.06,-2.17,0,0,0,23,12.47,2.19,1.19,16.67,96.07,93.94,30.12,45.27,84.47,38.4,11.91
"CHRISTIAN.EHRHOFF","2007-2017","S.J/VAN/BUF/PIT/L.A/CHI","D",601,1719.15,21,100,121,77,4.22,2.69,106.03,3.7,2955,379,2576,88.63,0.5,221,28,193,88.76,-0.23,204.77,23.75,181.02,89.61,-0.17,13,4,-9,822,28.69,27.22,0.95,5.72,102.88,94.66,48.49,47.28,84.94,37.65,12.23
"CHRISTIAN.HANSON","2007-2017","TOR","C",42,50.23,0,0,0,0,0,0,0.15,0.18,81,11,70,88.04,1.11,2,2,0,50,-34.62,5.52,0.8,4.72,87.34,0.72,1,0,-1,13,15.53,1.52,1.82,0,84.88,91.89,17.38,40.2,88.14,35,13.39
