"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TIM.WALLACE","2007-2017","PIT/NYI/T.B/CAR","R",101,894.05,4,9,13,10,0.87,0.67,8.4,0.56,648,796,-148,44.88,-3.37,18,36,-18,33.33,-14.72,24.6,35.44,-10.84,40.97,-8.02,14,20,6,111,7.45,4.7,0.32,6.25,96.72,46.72,15,27.49,47.48,29.08,50.53
"TJ.BRENNAN","2007-2017","BUF/FLA/TOR","D",53,845.9,5,8,13,9,0.92,0.64,15.02,1.07,842,732,110,53.49,7.97,33,45,-12,42.31,4.46,34.05,35.89,-1.84,48.68,6.71,13,14,1,191,13.55,4.4,0.31,6.41,97.16,64.98,26.51,29.55,52.58,29.51,46.7
"TJ.BRODIE","2007-2017","CGY","D",418,9580.89,31,143,174,95,1.09,0.59,172.57,1.08,8457,8344,113,50.34,3.6,423,439,-16,49.07,0.59,408.16,405.26,2.9,50.18,2.2,61,80,19,1148,7.19,36.06,0.23,6.43,99.38,47.31,37.86,30.44,48.51,31.65,50.13
"T.J..GALIARDI","2007-2017","COL","L",24,375.32,4,6,10,7,1.6,1.12,7.2,1.15,262,381,-119,40.75,-3.47,13,18,-5,41.94,-7.46,11.4,14.98,-3.58,43.21,-1.49,6,7,1,69,11.03,3.42,0.55,14.29,99.4,43.17,25.73,31.41,44.7,31.54,52.94
"TJ.GALIARDI","2007-2017","COL/S.J/CGY/WPG","L",297,4347.09,40,55,95,71,1.31,0.98,96.02,1.33,3492,4257,-765,45.06,-6.02,140,218,-78,39.11,-11.68,154.91,201.34,-46.43,43.48,-9.33,54,78,24,864,11.93,46.34,0.64,8.28,97.88,43.9,24.37,30.84,46.17,Inf,52.96
"T.J..HENSICK","2007-2017","COL","C",98,1219.79,11,24,35,24,1.72,1.18,26.71,1.31,1098,1086,12,50.27,4.82,45,47,-2,48.91,4.08,51.66,43.91,7.75,54.05,7.11,8,11,3,282,13.87,14.29,0.7,6.11,98.57,59.05,20.67,31.07,53.32,29.82,44.91
"TJ.HENSICK","2007-2017","COL/STL","C",14,123.11,1,2,3,3,1.46,1.46,2.27,1.11,120,111,9,51.95,0.69,7,11,-4,38.89,-16.67,4.78,5.18,-0.4,47.99,-6,1,0,-1,22,10.72,1.21,0.59,8.33,91.31,74.6,14.92,29.15,52.65,28.73,49.45
"T.J..OSHIE","2007-2017","STL/WSH","R",591,10999.74,169,246,415,326,2.26,1.78,463.03,2.53,11068,9071,1997,54.96,5.17,654,407,247,61.64,9.92,565.27,423.8,141.47,57.15,7.43,147,221,74,2255,12.3,144.85,0.79,13.44,102.31,55.06,30.61,Inf,54.54,Inf,49.26
"TOBIAS.ENSTROM","2007-2017","ATL/WPG","D",676,15628.73,53,243,296,162,1.14,0.62,277.9,1.07,14446,13396,1050,51.89,4.95,796,746,50,51.62,7.08,744.86,685.46,59.4,52.08,6.53,203,118,-85,1679,6.45,46.1,0.18,6.75,100.07,53.55,38.1,Inf,52.37,Inf,48.58
"TOBIAS.LINDBERG","2007-2017","TOR","R",6,95.05,0,2,2,1,1.26,0.63,1.93,1.22,105,82,23,56.15,12.49,4,3,1,57.14,30.22,3.03,4.29,-1.26,41.39,5.35,2,0,-2,25,15.78,0.6,0.38,0,104.13,63.16,26.58,31.74,55.78,31.22,46.06
"TOBIAS.RIEDER","2007-2017","ARI","C/C/R",234,4020.65,43,49,92,67,1.37,1,97.97,1.46,3748,4074,-326,47.92,1.82,143,214,-71,40.06,-4.12,166.05,205.57,-39.52,44.68,-0.14,14,56,42,943,14.07,54.27,0.81,8.07,97.31,47.97,28.46,Inf,48.36,Inf,51.38
"TOBY.PETERSEN","2007-2017","DAL","C",242,2457.1,16,23,39,33,0.95,0.81,46.57,1.14,1816,2344,-528,43.65,-6.59,65,112,-47,36.72,-15.01,69.47,99.47,-30,41.12,-9.62,19,35,16,450,10.99,20.97,0.51,5.46,97.44,43.18,17.03,Inf,46.25,Inf,53.48
"TODD.BERTUZZI","2007-2017","ANA/CGY/DET","R",433,7074.01,88,141,229,166,1.94,1.41,230.75,1.96,7198,5201,1997,58.05,6.85,387,274,113,58.55,9.57,352.66,247.32,105.34,58.78,9.77,190,107,-83,1337,11.34,87.42,0.74,10.64,100.65,63.56,27.01,Inf,60.39,31.06,44.73
"TODD.FEDORUK","2007-2017","DAL/MIN/ARI/T.B","L",190,1837.67,15,16,31,21,1.01,0.69,10.61,0.35,1404,1642,-238,46.09,-1.47,66,76,-10,46.48,-1.24,56.54,72.35,-15.81,43.87,-3.39,79,61,-18,222,7.25,13.83,0.45,11.19,100.38,49.24,16.38,30.1,50.45,29,48.21
"TODD.MARCHANT","2007-2017","ANA","C",304,4441.19,24,39,63,45,0.85,0.61,34.01,0.46,2601,4877,-2276,34.78,-17.1,92,255,-163,26.51,-29.93,114.33,250.93,-136.6,31.3,-20.94,69,53,-16,541,7.31,28.73,0.39,7.06,96.54,27.89,24.19,Inf,42.06,33.79,59
"TODD.WHITE","2007-2017","ATL/NYR","C",239,3973.49,44,94,138,103,2.08,1.56,95.74,1.45,3404,3491,-87,49.37,4.43,229,205,24,52.76,8.48,184.82,185.31,-0.49,49.93,5.4,42,41,-1,542,8.18,41.81,0.63,12.09,102.02,52.63,27.47,Inf,51.59,Inf,47.48
"TOMAS.FLEISCHMANN","2007-2017","WSH/COL/FLA/ANA/MTL/CHI","R/C/R/L/R/L",614,9850.7,133,191,324,263,1.97,1.6,336.82,2.05,9714,8222,1492,54.16,3.55,500,467,33,51.71,3.82,449.54,388.76,60.78,53.63,4.4,96,102,6,2236,13.62,115.39,0.7,10.76,99.45,59.36,26.52,Inf,54.64,Inf,47.59
